urdu,nagari,transliteration,count
رشکِ ہم طرحیودردِ اثرِ بانگِ حزیں,रशक‐ए‐हमतरही‐ओ‐दरद‐ए‐असर‐ए‐बांग‐ए‐हज़ीं,rashk-e ham-:tar;hii-o-dard-e a;sar-e baa;ng-e ;hazii;n,1
حرام,हराम,;haraam,1
شوخِ تند خو,शोख़‐ए‐तुंदख़ू,sho;x-e tund-;xuu,1
میناے بے شرابودلِ بے ہواے گل,मीना‐ए‐बेशराब‐ओ‐दिल‐ए‐बेहवा‐ए‐गुल,miinaa-e be-sharaab-o-dil-e be-havaa-e gul,1
پھرو,फिरो,phiro,1
اعضا,आज़ा,a((.zaa,1
آویں‌گے,आवेंगे,aave;nge,1
بزمِ طرب,बज़म‐ए‐तरब,bazm-e :tarab,1
ملنا,मिलना,milnaa,1
پہنچتے,पहुंचते,pahu;nchte,1
طرزوروش,तरज़‐ओ‐रविश,:tarz-o-ravish,1
بردنِ صد,बुरदन‐ए‐सद,burdan-e .sad,1
آفتاب پرست,आफ़ताबपरसत,aaftaab-parast,1
خدائی,ख़ुदाई,;xudaa))ii,1
رہتی,रहती,rahtii,1
کہویں,कहवें,kahve;n,1
پرنیاں,परनियाँ,parniyaa;n,1
کثرت آرائیِ وحدت,कसरतआराई‐ए‐वहदत,ka;srat-aaraa))ii-e va;hdat,1
چٹکنا,चटकना,cha;taknaa,1
حریصِ لخّتِ آزار,हरीस‐ए‐लज़ज़त‐ए‐आज़ार,;harii.s-e la;z;zat-e aazaar,1
مکیں,मकीं,makii;n,1
مذکور,मज़कूर,ma;zkuur,1
دوام,दवाम,davaam,1
اخلاص,इख़लास,i;xlaa.s,1
پروازِ شوقِ ناز,परवाज़‐ए‐शौक़‐ए‐नाज़,parvaaz-e shauq-e naaz,1
پھول,फूल,phuul,1
پرتوِ خورشید,परतव‐ए‐ख़ुरशीद,partav-e ;xvurshiid,1
وحشتِ دل,वहशत‐ए‐दिल,va;hshat-e dil,1
آئینہ خانے,आईनाख़ाने,aa))iinah-;xaane,1
عمرِ طبیعی,उमर‐ए‐तबीई,((umr-e :tabii((ii,1
رنگِ تمکینِ گلولالہ,रंग‐ए‐तमकीन‐ए‐गुल‐ओ‐लाला,rang-e tamkiin-e gul-o-laalah,1
کشتہِ دشمن,कुशता‐ए‐दुशमन,kushtah-e dushman,1
پھرتی,फिरती,phirtii,1
ستائش,सताइश,sataa))ish,1
تھمتا,थमता,thamtaa,1
رکتا,रुकता,ruktaa,1
پئے ہم,पएहम,pa))e-ham,1
پیکرِ عشّاق,पैकर‐ए‐उशशाक़,paikar-e ((ushshaaq,1
شورِ سوداے خطّوخال,शोर‐ए‐सौदा‐ए‐ख़तत‐ओ‐ख़ाल,shor-e saudaa-e ;xa:t:t-o-;xaal,1
گنجہاے گراں مایہ,गंजहा‐ए‐गिराँमाया,ganj'haa-e giraa;n-maayah,1
نہی,नही,nahii,1
معذور,माज़ूर,ma((;zuur,1
در تشنگی مردگاں,दरतिशनगीमुरदगाँ,dar-tishnagii-murdagaa;n,1
نفس پرور,नफ़सपरवर,nafas-parvar,1
مانے,माने,maane,1
چنگورباب,चंग‐ओ‐रबाब,chang-o-rabaab,1
بعدِ یک,बाद‐ए‐यक,ba((d-e yak,1
واجب,वाजिब,vaajib,1
لطفِ جلوہہاے معانی,लुतफ़‐ए‐जलवहहा‐ए‐मआनी,lu:tf-e jalvah'haa-e ma((aanii,1
حرفِ وفا,हरफ़‐ए‐वफ़ा,;harf-e vafaa,1
خفائی,ख़फ़ाई,;xafaa))ii,1
محتاجِ حنا,मुहताज‐ए‐हिना,mu;htaaj-e ;hinaa,1
گنجفہ بازِ خیال,गंजिफ़ाबाज़‐ए‐ख़याल,ganjifah-baaz-e ;xayaal,1
خوشونا خوش,ख़ुश‐ओ‐नाख़ुश,;xvush-o-naa-;xvush,1
مسجود,मसजूद,masjuud,1
نظّارگی,नज़ज़ारगी,na:z:zaaragii,1
سر انگشتِ حنائی,सरअंगुशत‐ए‐हिनाई,sar-angusht-e ;hinaa))ii,1
کشت,किशत,kisht,1
مقبول,मक़बूल,maqbuul,1
آبوگل,आब‐ओ‐गिल,aab-o-gil,1
بہائی,बहाई,bahaa))ii,1
خانہ زادِ زلف,ख़ानाज़ाद‐ए‐ज़ुलफ़,;xaanah-zaad-e zulf,1
نزاکت,नज़ाकत,nazaakat,1
دستِ بتِ بد مست,दसत‐ए‐बुत‐ए‐बदमसत,dast-e but-e bad-mast,1
جاے خندہ,जा‐ए‐ख़ंदा,jaa-e ;xandah,1
طالبِ تاثیر,तालिब‐ए‐तासीर,:taalib-e taa;siir,1
نشاطِ بہار,निशात‐ए‐बहार,nishaa:t-e bahaar,1
پری رخ,परीरुख़,parii-ru;x,1
یاس خیز,यासख़ेज़,yaas-;xez,1
زرد,ज़रद,zard,1
معزولیِ اندازوادا,माज़ूली‐ए‐अंदाज़‐ओ‐अदा,ma((zuulii-e andaaz-o-adaa,1
ذوقِ تن آسانی,ज़ौक़‐ए‐तनआसानी,;zauq-e tan-aasaanii,1
چکّر,चककर,chakkar,1
نصیب,नसीब,na.siib,1
کوہِ طور,कोह‐ए‐तूर,koh-e :tuur,1
پڑیے,पड़ये,pa;rye,1
مقرّر,मुक़ररर,muqarrar,1
شہادت,शहादत,shahaadat,1
نوا سنجانِ گلشن,नवासंजान‐ए‐गुलशन,navaa-sanjaan-e gulshan,1
پرِ پروانہ,पर‐ए‐परवाना,par-e parvaanah,1
الٹا,उलटा,ul;taa,1
نوحہ خواں,नौहाख़वाँ,nau;hah-;xvaa;n,1
ذوق فزا,ज़ौक़फ़िज़ा,;zauq-fizaa,1
مشقِ ناز,मशक़‐ए‐नाज़,mashq-e naaz,1
مرد,मरद,mard,1
مرے,मरे,mare,1
کروگے,करोगे,karoge,1
شہنشاہِ کواکب سپہومہر علم,शहिंशाह‐ए‐कवाकिबसिपा‐ओ‐मिहरअलम,shahinshaah-e kavaakib-sipah-o-mihr-((alam,1
اجازت,इजाज़त,ijaazat,1
راہورسمِ یاری,राह‐ओ‐रसम‐ए‐यारी,raah-o-rasm-e yaarii,1
چشموچراغِ صحرا,चशम‐ओ‐चिराग़‐ए‐सहरा,chashm-o-chiraa;g-e .sa;hraa,1
ضرر,ज़रर,.zarar,1
نگاہِ گل چیں,निगाह‐ए‐गुलचीं,nigaah-e gul-chii;n,1
سفیدی,सफ़ेदी,safedii,1
ہوجو,हूजो,huujo,1
دعواے جمعیّتِ احباب,दावा‐ए‐जमिययत‐ए‐अहबाब,da((vaa-e jam((iyyat-e a;hbaab,1
نفسِ جاں گداز,नफ़स‐ए‐जाँगुदाज़,nafas-e jaa;n-gudaaz,1
سبزے,सबज़े,sabze,1
معاف,मुआफ़,mu((aaf,1
قطرہِ شبنم,क़तरा‐ए‐शबनम,qa:trah-e shabnam,1
فتنہ خو,फ़ितनाख़ू,fitnah-;xuu,1
ماہِ شبِ چار دہم,माह‐ए‐शब‐ए‐चारदुहम,maah-e shab-e chaar-duham,1
بے اختیار,बेइख़तियार,be-i;xtiyaar,1
عام,आम,((aam,1
دامِ خالی,दाम‐ए‐ख़ाली,daam-e ;xaalii,1
خوش حال,ख़ुशहाल,;xvush-;haal,1
غمزہ,ग़मज़ा,;gamzah,1
گناہگار,गुनाहगार,gunaahgaar,1
فتنہِ طاقت ربا,फ़ितना‐ए‐ताक़तरुबा,fitnah-e :taaqat-rubaa,1
ترکِ جست جو,तरक‐ए‐जुसतजू,tark-e just-juu,1
خنجر آزما,ख़ंजरआज़मा,;xanjar-aazmaa,1
ہنگامے,हंगामे,hangaame,1
تجھ سا,तुझसा,tujh-saa,1
دائم ال حبس,दाइमउलहबस,daa))im-ul-;habs,1
مشتِ خس,मुशत‐ए‐ख़स,musht-e ;xas,1
گداے بے سروپا,गदा‐ए‐बेसर‐ओ‐पा,gadaa-e be-sar-o-paa,1
لاوےگی,लावेगी,laavegii,1
شبہاے تارِ برش کال,शबहा‐ए‐तार‐ए‐बरशकाल,shab'haa-e taar-e barsh-kaal,1
عشرتِ پارہِ دل,इशरत‐ए‐पारा‐ए‐दिल,((ishrat-e paarah-e dil,1
دیدہِ خوں بار,दीदा‐ए‐ख़ूँबार,diidah-e ;xuu;n-baar,1
کفِ قاتل,कफ़‐ए‐क़ातिल,kaf-e qaatil,1
غیرِ جلوہِ گل,ग़ैर‐ए‐जलवा‐ए‐गुल,;gair-e jalvah-e gul,1
لپٹنا,लिपटना,lipa;tnaa,1
بابِ نبرد,बाब‐ए‐नबरद,baab-e nabard,1
تازہ واردانِ بساطِ ہواے دل,ताज़ावारिदान‐ए‐बिसात‐ए‐हवा‐ए‐दिल,taazah-vaaridaan-e bisaa:t-e havaa-e dil,1
گردِ رہِ جولانِ صبا,गरद‐ए‐रा‐ए‐जौलान‐ए‐सबा,gard-e rah-e jaulaan-e .sabaa,1
تھمے,थमे,thame,1
کوشش,कोशिश,koshish,1
دیدہِ بے خواب,दीदा‐ए‐बेख़वाब,diidah-e be-;xvaab,1
غمِ دل,ग़म‐ए‐दिल,;gam-e dil,1
صاف,साफ़,.saaf,1
سینہِ پر خوں,सीना‐ए‐पुरख़ूँ,siinah-e pur-;xuu;n,1
نو آموزِ فنا,नौआमोज़‐ए‐फ़ना,nau-aamoz-e fanaa,1
پس,पस,pas,1
بے دادِ ذوقِ پر فشانی,बेदाद‐ए‐ज़ौक़‐ए‐परफ़िशानी,be-daad-e ;zauq-e par-fishaanii,1
انصاف,इंसाफ़,in.saaf,1
بیمِ رقیب,बीम‐ए‐रक़ीब,biim-e raqiib,1
مے خانے,मैख़ाने,mai-;xaane,1
حوادث,हवादिस,;havaadi;s,1
آلاتِ مے کشی,आलात‐ए‐मैकशी,aalaat-e mai-kashii,1
ذریعہِ راحت,ज़रीअह‐ए‐राहत,;zarii((ah-e raa;hat,1
کاو کاوِ سخت جانیہاے تنہائی,कावकाव‐ए‐सख़तजानीहा‐ए‐तंहाई,kaav-kaav-e sa;xt-jaaniihaa-e tanhaa))ii,1
طرّہ,तुररा,:turrah,1
امّت,उममत,ummat,1
نسیہونقدِ دو عالم,निसया‐ओ‐नक़द‐ए‐दोआलम,nisyah-o-naqd-e do-((aalam,1
خیالِ زخم,ख़याल‐ए‐ज़ख़म,;xayaal-e za;xm,1
درسِ عنوانِ تماشا,दरस‐ए‐उंवान‐ए‐तमाशा,dars-e ((unvaan-e tamaashaa,1
گوشہِ دامن,गोशा‐ए‐दामन,goshah-e daaman,1
برسوں,बरसों,barso;n,1
لطمہِ موج,लतमा‐ए‐मौज,la:tmah-e mauj,1
صرفِ بہاے مے,सरफ़‐ए‐बहा‐ए‐मै,.sarf-e bahaa-e mai,1
حسنِ ظنّ,हुसन‐ए‐ज़ंन,;husn-e :zann,1
نیش,नेश,nesh,1
بت شکنی,बुतशिकनी,but-shikanii,1
نفسِ قیس,नफ़स‐ए‐क़ैस,nafas-e qais,1
تیغوکفن,तेग़‐ओ‐कफ़न,te;g-o-kafan,1
عرضِ ستمہاے جدائی,अरज़‐ए‐सितमहा‐ए‐जुदाई,((ar.z-e sitamhaa-e judaa))ii,1
آرزو خرامی,आरज़ूख़िरामी,aarzuu-;xiraamii,1
گری,गिरी,girii,1
ہئوں,हुओं,hu))o;n,1
رگِ ہر,रग‐ए‐हर,rag-e har,1
متاعِ خانہِ زنجیر,मता‐ए‐ख़ाना‐ए‐ज़ंजीर,mataa((-e ;xaanah-e zanjiir,1
طوطیِ بسمل,तूती‐ए‐बिसमिल,:tuu:tii-e bismil,1
بلبلیں,बुलबुलें,bulbule;n,1
دعواے رسائی,दावा‐ए‐रसाई,da((vaa-e rasaa))ii,1
تنکا,तिंका,tinkaa,1
پاداشِ عمل,पादाश‐ए‐अमल,paadaash-e ((amal,1
نعل بہا,नालबहा,na((l-bahaa,1
رو کشی,रूकशी,ruu-kashii,1
شکن,शिकन,shikan,1
شانے,शाने,shaane,1
مبتلاے آفتِ رشک,मुबतला‐ए‐आफ़त‐ए‐रशक,mubtalaa-e aafat-e rashk,1
صورتِ رشتہِ گوہر,सूरत‐ए‐रिशता‐ए‐गौहर,.suurat-e rishtah-e gauhar,1
سرِ رہگزار,सर‐ए‐रहगुज़ार,sar-e rahguzaar,1
سخن ور,सुख़नवर,su;xan-var,1
آمدِ سیلابِ طوفانِ صداے آب,आमद‐ए‐सैलाब‐ए‐तूफ़ान‐ए‐सदा‐ए‐आब,aamad-e sailaab-e :tuufaan-e .sadaa-e aab,1
اقامت,इक़ामत,iqaamat,1
چارہ جوئی,चाराजूई,chaarah-juu))ii,1
فرض,फ़रज़,far.z,1
زندانیوں,ज़िंदानियों,zindaaniyo;n,1
نسیم,नसीम,nasiim,1
نمِ شبنم,नम‐ए‐शबनम,nam-e shabnam,1
نکالا,निकाला,nikaalaa,1
اڑتی سی,उड़तीसी,u;rtii-sii,1
دشواریِ رہوستمِ ہم رہاں,दुशवारी‐ए‐रा‐ओ‐सितम‐ए‐हमरहाँ,dushvaarii-e rah-o-sitam-e ham-rahaa;n,1
بساطِ عجز,बिसात‐ए‐अजज़,bisaa:t-e ((ajz,1
لیتے,लेते,lete,1
زخمِ دل,ज़ख़म‐ए‐दिल,za;xm-e dil,1
کھینچوں,खेंचूँ,khe;nchuu;n,1
نویدِ مقدمِ یار,नवेद‐ए‐मक़दम‐ए‐यार,naved-e maqdam-e yaar,1
کاسہِ گردوں,कासा‐ए‐गरदूँ,kaasah-e garduu;n,1
موجِ بادہ,मौज‐ए‐बादा,mauj-e baadah,1
نظّارہ,नज़ज़ारा,na:z:zaarah,1
دلِ آزردہ,दिल‐ए‐आज़ुरदा,dil-e aazurdah,1
عیشِ بے تابی,ऐश‐ए‐बेताबी,((aish-e be-taabii,1
ناسور,नासूर,naasuur,1
زیاد,ज़ियाद,ziyaad,1
چینِ جبیں,चीन‐ए‐जबीं,chiin-e jabii;n,1
تالیفِ نسخہہاے وفا,तालीफ़‐ए‐नुसख़हहा‐ए‐वफ़ा,taaliif-e nus;xah'haa-e vafaa,1
کندھا,कंधा,kandhaa,1
جاگے,जागे,jaage,1
ضبطِ شوق,ज़बत‐ए‐शौक़,.zab:t-e shauq,1
نواے جگر خراش,नवा‐ए‐जिगरख़राश,navaa-e jigar-;xaraash,1
طاقتِ رم,ताक़त‐ए‐रम,:taaqat-e ram,1
خاک انداز,ख़ाकअंदाज़,;xaak-andaaz,1
دیوانِ بے شیرازہ,दीवान‐ए‐बेशीराज़ा,diivaan-e be-shiiraazah,1
ساقیِ کوثر,साक़ी‐ए‐कौसर,saaqii-e kau;sar,1
تاکے,ताके,taake,1
لخّت یاب,लज़ज़तयाब,la;z;zat-yaab,1
نالہِ مرغِ سحر,नाला‐ए‐मुरग़‐ए‐सहर,naalah-e mur;g-e sa;har,1
غزل سرا,ग़ज़लसरा,;gazal-saraa,1
سر گراں,सरगिराँ,sar-giraa;n,1
صریرِ خامہ,सरीर‐ए‐ख़ामा,.sariir-e ;xaamah,1
عشرتِ صحبتِ خوباں,इशरत‐ए‐सुहबत‐ए‐ख़ूबाँ,((ishrat-e .su;hbat-e ;xuubaa;n,1
بزرگ,बुज़ुरग,buzurg,1
ڈھونڈھے,ढूंढे,;dhuu;n;dhe,1
رسموراہ,रसम‐ओ‐राह,rasm-o-raah,1
حاجت,हाजत,;haajat,1
معدن,मादन,ma((dan,1
رنگِ شکستہ,रंग‐ए‐शिकसता,rang-e shikastah,1
اسامی,असामी,asaamii,1
زمانہِ جوانی,ज़माना‐ए‐जवानी,zamaanah-e javaanii,1
بے درودیوار,बेदर‐ओ‐दीवार,be-dar-o-diivaar,1
شعلہِ جوّالہ,शुला‐ए‐जववाला,shu((lah-e javvaalah,1
گریہِ سحری,गिरया‐ए‐सहरी,giryah-e sa;harii,1
مقدّر,मुक़ददर,muqaddar,1
نار,नार,naar,1
فیضِ بے دلی,फ़ैज़‐ए‐बेदिली,fai.z-e be-dilii,1
جلوہ ریزیِ بادوبہ,जलवारेज़ी‐ए‐बाद‐ओ‐ब,jalvah-rezii-e baad-o-bah,1
مکاں,मकाँ,makaa;n,1
معتقدِ میر,मुतक़िद‐ए‐मीर,mu((taqid-e miir,1
حرکت,हरकत,;harakat,1
راحت,राहत,raa;hat,1
ٹکڑا,टुकड़ा,;tuk;raa,1
شہود,शुहूद,shuhuud,1
عرقِ انفعال,अरक़‐ए‐इंफ़िाल,((araq-e infi((aal,1
شہیدِ وفا,शहीद‐ए‐वफ़ा,shahiid-e vafaa,1
آغوش کشائی,आग़ोशकुशाई,aa;gosh-kushaa))ii,1
سازِ ہستی,साज़‐ए‐हसती,saaz-e hastii,1
پرتوِ خور,परतव‐ए‐ख़ुर,partav-e ;xvur,1
مرگِ ناگہانی,मरग‐ए‐नागहानी,marg-e naagahaanii,1
عشقِ خانہ ویراں ساز,इशक़‐ए‐ख़ानावीराँसाज़,((ishq-e ;xaanah-viiraa;n-saaz,1
دمِ شمشیر,दम‐ए‐शमशीर,dam-e shamshiir,1
چرخِ مکوکب,चरख़‐ए‐मुकौकब,char;x-e mukaukab,1
بہارِ ناز,बहार‐ए‐नाज़,bahaar-e naaz,1
رکتی,रुकती,ruktii,1
چاہنے والا,चाहनेवाला,chaahne-vaalaa,1
برائے,बराए,baraa))e,1
غمزہوعشوہوادا,ग़मज़ा‐ओ‐इशवा‐ओ‐अदा,;gamzah-o-((ishvah-o-adaa,1
داغِ فراقِ صحبتِ شب,दाग़‐ए‐फ़िराक़‐ए‐सुहबत‐ए‐शब,daa;g-e firaaq-e .su;hbat-e shab,1
در خور,दरख़वर,dar-;xvar,1
سرِ پر شور,सर‐ए‐पुरशोर,sar-e pur-shor,1
چشمِ فسوں گر,चशम‐ए‐फ़ुसूँगर,chashm-e fusuu;n-gar,1
اوک,ओक,ok,1
آنسو,आंसू,aa;nsuu,1
نواہاے راز,नवाहा‐ए‐राज़,navaahaa-e raaz,1
حیاتِ دہر,हयात‐ए‐दहर,;hayaat-e dahr,1
محوِ عبرتِ انجامِ گل,महव‐ए‐इबरत‐ए‐अंजाम‐ए‐गुल,ma;hv-e ((ibrat-e anjaam-e gul,1
دمِ سرد,दम‐ए‐सरद,dam-e sard,1
خالِ کنجِ دہن,ख़ाल‐ए‐कुंज‐ए‐दहन,;xaal-e kunj-e dahan,1
لکھوں,लिखूँ,likhuu;n,1
خرابات,ख़राबात,;xaraabaat,1
چور,चोर,chor,1
ترکش,तरकश,tarkash,1
گھبراۓگا,घबराएगा,ghabraa))egaa,1
جلتی,जलती,jaltii,1
بے خونِ دل,बेख़ून‐ए‐दिल,be-;xuun-e dil,1
رہوں,रहूँ,rahuu;n,1
نقشا,नक़शा,naqshaa,1
در خورِ عقدِ گہر,दरख़ुर‐ए‐अक़द‐ए‐गुहर,dar-;xvur-e ((aqd-e guhar,1
محیطِ بادہ,मुहीत‐ए‐बादा,mu;hii:t-e baadah,1
ویرانی سی,वीरानीसी,viiraanii-sii,1
دل ستانی,दिलसितानी,dil-sitaanii,1
بعدِ قتل,बाद‐ए‐क़तल,ba((d-e qatl,1
غلط بردار,ग़लतबरदार,;gala:t-bardaar,1
بجاے خود,बजा‐ए‐ख़ुद,bajaa-e ;xvud,1
سرد,सरद,sard,1
صیدِ ز دام,सैद‐ए‐ज़ दाम,.said-e z daam,1
فریادیِ بے دادِ دلبر,फ़रयादी‐ए‐बेदाद‐ए‐दिलबर,faryaadii-e be-daad-e dilbar,1
جنبشِ جوہر,जुंबिश‐ए‐जौहर,junbish-e jauhar,1
نا امّیدواری,नाउममीदवारी,naa-ummiidvaarii,1
طاقتِ گفتار,ताक़त‐ए‐गुफ़तार,:taaqat-e guftaar,1
مکافات,मुकाफ़ात,mukaafaat,1
عقوبت,उक़ूबत,((uquubat,1
بیدل,बेदिल,bedil,1
گفتہِ غالب,गुफ़ता‐ए‐ग़ालिब,guftah-e ;gaalib,1
آئنہ خانے,आइनाख़ाने,aa))inah-;xaane,1
لخّتِ الم,लज़ज़त‐ए‐अलम,la;z;zat-e alam,1
حمّام,हममाम,;hammaam,1
عشقِ پر عربدہ,इशक़‐ए‐पुरअरबदा,((ishq-e pur-((arbadah,1
واقعہ,वाक़िअह,vaaqi((ah,1
بیدادِ وفا,बेदाद‐ए‐वफ़ा,bedaad-e vafaa,1
غم گساری,ग़मगुसारी,;gam-gusaarii,1
پاے افگار,पा‐ए‐अफ़गार,paa-e afgaar,1
ذوقِ نواے مرغِ بستانی,ज़ौक़‐ए‐नवा‐ए‐मुरग़‐ए‐बुसतानी,;zauq-e navaa-e mur;g-e bustaanii,1
خاکِ گلشن,ख़ाक‐ए‐गुलशन,;xaak-e gulshan,1
بالِ تدرو,बाल‐ए‐तदरव,baal-e tadarv,1
سرحدِ ادراک,सरहद‐ए‐इदराक,sar;had-e idraak,1
جادہِ سر منزلِ تقویٰ,जादा‐ए‐सरमंज़िल‐ए‐तक़वा,jaadah-e sar-manzil-e taqv;aa,1
لگنے,लगने,lagne,1
بے مزا,बेमज़ा,be-mazaa,1
وقتِ شام,वक़त‐ए‐शाम,vaqt-e shaam,1
عتاب,अताब,((ataab,1
ذہن,ज़हन,;zahn,1
تیز رو,तेज़रौ,tez-rau,1
سست رو,सुसतरू,sust-ruu,1
حقِّ صحبتِ اہلِ کنشت,हक़क़‐ए‐सुहबत‐ए‐अहल‐ए‐कुनिशत,;haqq-e .su;hbat-e ahl-e kunisht,1
نقشونگارِ طاقِ نسیاں,नक़श‐ओ‐निगार‐ए‐ताक़‐ए‐निसयाँ,naqsh-o-nigaar-e :taaq-e nisyaa;n,1
عرصہِ آفاق,अरसा‐ए‐आफ़ाक़,((ar.sah-e aafaaq,1
کھوئے,खोए,kho))e,1
جاؤگے,जाओगे,jaa))oge,1
بے دماغ,बेदिमाग़,be-dimaa;g,1
جامِ واژ گوں,जाम‐ए‐वाझ़गूँ,jaam-e vaazh-guu;n,1
ذوقِ وصلویادِ یار,ज़ौक़‐ए‐वसल‐ओ‐याद‐ए‐यार,;zauq-e va.sl-o-yaad-e yaar,1
تشنگیِ شوق,तिशनगी‐ए‐शौक़,tishnagii-e shauq,1
نافہ,नाफ़ा,naafah,1
دشتِ قیس,दशत‐ए‐क़ैस,dasht-e qais,1
گزر گاہِ خیال,गुज़रगाह‐ए‐ख़याल,guzar-gaah-e ;xayaal,1
کشاکشہاے ہستی,कशाकशहा‐ए‐हसती,kashaakash'haa-e hastii,1
بہاے متاعِ ہنر,बहा‐ए‐मता‐ए‐हुनर,bahaa-e mataa((-e hunar,1
تسکینِ اضطراب,तसकीन‐ए‐इज़तिराब,taskiin-e i.z:tiraab,1
جمالِ دل فروز,जमाल‐ए‐दिलफ़ुरोज़,jamaal-e dil-furoz,1
نشیبوفراز,नशेब‐ओ‐फ़राज़,nasheb-o-faraaz,1
نگہِ چشمِ سرمہ سا,निगा‐ए‐चशम‐ए‐सुरमासा,nigah-e chashm-e surmah-saa,1
موے شیشہ,मू‐ए‐शीशा,muu-e shiishah,1
جادہِ راہِ فنا,जादा‐ए‐राह‐ए‐फ़ना,jaadah-e raah-e fanaa,1
لباسِ کعبہ,लिबास‐ए‐काबा,libaas-e ka((bah,1
آتشِ دوزخ,आतिश‐ए‐दोज़ख़,aatish-e doza;x,1
جلانے,जलाने,jalaane,1
مے پرستاں,मैपरसताँ,mai-parastaa;n,1
سوارِ سمندِ ناز,सवार‐ए‐समंद‐ए‐नाज़,savaar-e samand-e naaz,1
کثرتِ نظّارہ,कसरत‐ए‐नज़ज़ारा,ka;srat-e na:z:zaarah,1
چھوڑیں‌گے,छोड़ेंगे,chho;re;nge,1
روزِ بازارِ جاں سپاری,रोज़‐ए‐बाज़ार‐ए‐जाँसिपारी,roz-e baazaar-e jaa;n-sipaarii,1
زنانِ مصر,ज़नान‐ए‐मिसर,zanaan-e mi.sr,1
سرِ رشتہِ وفا,सर‐ए‐रिशता‐ए‐वफ़ा,sar-e rishtah-e vafaa,1
مشاہدہ,मुशाहदा,mushaahadah,1
بجھائے,बुझाए,bujhaa))e,1
وا بستہِ تن,वाबसता‐ए‐तन,vaa-bastah-e tan,1
مژہِ خواب ناک,मिझ़ा‐ए‐ख़वाबनाक,mizhah-e ;xvaab-naak,1
باربدِ بزمِ سخن,बारबुद‐ए‐बज़म‐ए‐सुख़न,baarbud-e bazm-e su;xan,1
ماتمِ یک شہر,मातम‐ए‐यकशहर,maatam-e yak-shahr,1
جھاڑی,झाड़ी,jhaa;rii,1
کبابِ دلِ سمندر,कबाब‐ए‐दिल‐ए‐समंदर,kabaab-e dil-e samandar,1
بندِ قبا,बंद‐ए‐क़बा,band-e qabaa,1
التفات,इलतिफ़ात,iltifaat,1
شکار,शिकार,shikaar,1
حریفِ مطلبِ مشکل,हरीफ़‐ए‐मतलब‐ए‐मुशकिल,;hariif-e ma:tlab-e mushkil,1
ماریے,मारिये,maariye,1
موسمِ گل,मौसम‐ए‐गुल,mausam-e gul,1
عارضِ گل,आरिज़‐ए‐गुल,((aari.z-e gul,1
جرئتِ فریاد,जुरअत‐ए‐फ़रयाद,jur))at-e faryaad,1
فرشتوں,फ़रिशतों,farishto;n,1
ہواے خرامِ ناز,हवा‐ए‐ख़िराम‐ए‐नाज़,havaa-e ;xiraam-e naaz,1
خلش,ख़लिश,;xalish,1
جواہرِ طرفِ کلہ,जवाहिर‐ए‐तरफ़‐ए‐कुला,javaahir-e :tarf-e kulah,1
حمزہ,हमज़ा,;hamzah,1
ہم نشیں,हमनिशीं,ham-nishii;n,1
طلسمِ دلِ سائل,तिलिसम‐ए‐दिल‐ए‐साइल,:tilism-e dil-e saa))il,1
ٹیڑھا,टेढ़ा,;te;rhaa,1
در خورِ عرض,दरख़ुर‐ए‐अरज़,dar-;xvur-e ((ar.z,1
غزل,ग़ज़ल,;gazal,1
غم ناک,ग़मनाक,;gam-naak,1
نوحہ گر,नौहागर,nau;hah-gar,1
لپٹا,लिपटा,lip;taa,1
دمِ ذکر,दम‐ए‐ज़िकर,dam-e ;zikr,1
جامِ جم,जाम‐ए‐जम,jaam-e jam,1
ادب,अदब,adab,1
سینہِ بسمل,सीना‐ए‐बिसमिल,siinah-e bismil,1
سازِ طالعِ نا ساز,साज़‐ए‐तालि‐ए‐नासाज़,saaz-e :taali((-e naa-saaz,1
وا رستگی,वारसतगी,vaa-rastagii,1
پرستش,परसतिश,parastish,1
گرفتارِ الفتِ صیّاد,गिरिफ़तार‐ए‐उलफ़त‐ए‐सययाद,giriftaar-e ulfat-e .sayyaad,1
کشمکشِ چارہِ زحمت,कशमकश‐ए‐चारा‐ए‐ज़हमत,kashmakash-e chaarah-e za;hmat,1
پر خار,पुरख़ार,pur-;xaar,1
آئنہِ برگِ گل,आइना‐ए‐बरग‐ए‐गुल,aa))inah-e barg-e gul,1
جوہرِ بیداد,जौहर‐ए‐बेदाद,jauhar-e bedaad,1
سلطنت,सुलतनत,sul:tanat,1
روک,रोक,rok,1
جلی,जली,jalii,1
چیخوں,चीख़ूँ,chii;xuu;n,1
نوکر,नौकर,naukar,1
کٹے,कटे,ka;te,1
بہانہِ راحت,बहाना‐ए‐राहत,bahaanah-e raa;hat,1
چین,चैन,chain,1
کفِ ہر,कफ़‐ए‐हर,kaf-e har,1
غرورِ عزّوناز,ग़ुरूर‐ए‐इज़ज़‐ओ‐नाज़,;guruur-e ((izz-o-naaz,1
افسردگیِ دل,अफ़सुरदगी‐ए‐दिल,afsurdagii-e dil,1
رو کشِ سطحِ چرخِ مینائی,रूकश‐ए‐सतह‐ए‐चरख़‐ए‐मीनाई,ruu-kash-e sa:t;h-e char;x-e miinaa))ii,1
غالبِ خستہ,ग़ालिब‐ए‐ख़सता,;gaalib-e ;xastah,1
مہر گیا,मिहरगिया,mihr-giyaa,1
پارہِ دل,पारा‐ए‐दिल,paarah-e dil,1
